;;;;;;;;;;;
;;Name;Diameter;Mass;Semi-Major axis;period;Inclination;Eccentricity;Dimensions;;
;;;km;10Pg;km;day;deg.;;km;;
;1;Metis;60;3.6;127690;+7h 4m 29s;0;0;60;40;34
;2;Adrastea;20;0.2;128690;+7h 9m 30s;0.03;0;20;16;14
;3;Amalthea;250;208;181366;+11h 57m 23s;0.37;0;250;146;128
;4;Thebe;116;43;221889;+16h 11m 17s;1.08;0.02;116;98;84
;5;Io;3660;8931900;421700;1.77;0.05;0;3660;3637.4;3630.6
;6;Europa;3121.6;4800000;671034;3.55;0.47;0.01;3121.6;3121.6;3121.6
;7;Ganymede;5262.4;14819000;1070412;7.15;0.2;0;5262.4;5262.4;5262.4
;8;Callisto;4820.6;10759000;1882709;16.69;0.21;0.01;4820.6;4820.6;4820.6
;9;Themisto;8;0.07;7393216;129.87;45.76;0.21;8;8;8
;10;Leda;16;0.6;11187781;240.82;27.56;0.17;16;16;16
;11;Himalia;170;670;11451971;250.23;30.49;0.15;170;170;170
;12;Lysithea;36;6.3;11740560;259.89;27.01;0.13;36;36;36
;13;Elara;86;87;11778034;257.62;29.69;0.19;86;86;86
;14;Dia;4;0.01;12570424;287.93;27.58;0.21;4;4;4
;15;Carpo;3;0;17144873;458.62;56;0.27;3;3;3
;16;S/2003 J 12;1;0;17739539;−482.69;142.68;0.44;1;1;1
;17;Euporie;2;0;19088434;−538.78;144.69;0.1;2;2;2
;18;S/2003 J 3;2;0;19621780;−561.52;146.36;0.25;2;2;2
;19;S/2011 J 1;1;;20155290;−582.22;162.8;0.3;1;1;1
;20;S/2003 J 18;2;0;20219648;−587.38;146.38;0.1;2;2;2
;21;S/2010 J 2;1;;20307150;−588.36;150.4;0.31;1;1;1
;22;Thelxinoe;2;0;20453753;−597.61;151.29;0.27;2;2;2
;23;Euanthe;3;0;20464854;−598.09;143.41;0.2;3;3;3
;24;Helike;4;0.01;20540266;−601.40;154.59;0.14;4;4;4
;25;Orthosie;2;0;20567971;−602.62;142.37;0.24;2;2;2
;26;S/2016 J 1;3;0;20595483;−603.83;139.84;0.14;3;3;3
;27;Iocaste;5;0.02;20722566;−609.43;147.25;0.29;5;5;5
;28;S/2003 J 16;2;0;20743779;−610.36;150.77;0.32;2;2;2
;29;Praxidike;7;0.04;20823948;−613.90;144.21;0.18;7;7;7
;30;Harpalyke;4;0.01;21063814;−624.54;147.22;0.24;4;4;4
;31;Mneme;2;0;21129786;−627.48;149.73;0.32;2;2;2
;32;Hermippe;4;0.01;21182086;−629.81;151.24;0.23;4;4;4
;33;Thyone;4;0.01;21405570;−639.80;147.28;0.25;4;4;4
;34;Ananke;28;3;21454952;−640.38;151.56;0.34;28;28;28
;35;Herse;2;0;22134306;−672.75;162.49;0.24;2;2;2
;36;Aitne;3;0;22285161;−679.64;165.56;0.39;3;3;3
;37;Kale;2;0;22409207;−685.32;165.38;0.2;2;2;2
;38;Taygete;5;0.02;22438648;−686.67;164.89;0.37;5;5;5
;39;S/2003 J 19;2;0;22709061;−699.12;164.73;0.2;2;2;2
;40;Chaldene;4;0.01;22713444;−699.33;167.07;0.29;4;4;4
;41;S/2003 J 15;2;0;22720999;−699.68;141.81;0.09;2;2;2
;42;S/2003 J 10;2;0;22730813;−700.13;163.81;0.34;2;2;2
;43;S/2003 J 23;2;0;22739654;−700.54;148.85;0.39;2;2;2
;44;Erinome;3;0;22986266;−711.96;163.74;0.26;3;3;3
;45;Aoede;4;0.01;23044175;−714.66;160.48;0.43;4;4;4
;46;Kallichore;2;0;23111823;−717.81;164.61;0.2;2;2;2
;47;Kalyke;5;0.02;23180773;−721.02;165.51;0.21;5;5;5
;48;Carme;46;13;23197992;−763.95;165.05;0.23;46;46;46
;49;Callirrhoe;9;0.09;23214986;−727.11;139.85;0.26;9;9;9
;50;Eurydome;3;0;23230858;−723.36;149.32;0.38;3;3;3
;51;Pasithee;2;0;23307318;−726.93;165.76;0.33;2;2;2
;52;S/2010 J 1;2;;23314335;−722.83;163.2;0.32;2;2;2
;53;Kore;2;0;23345093;−776.02;137.37;0.2;2;2;2
;54;Cyllene;2;0;23396269;−731.10;140.15;0.41;2;2;2
;55;S/2011 J 2;1;;23400981;−731.32;148.77;0.33;1;1;1
;56;Eukelade;4;0.01;23483694;−735.20;164;0.28;4;4;4
;57;S/2017 J 1;2;0;23483978;−734.15;149.2;0.4;2;2;2
;58;S/2003 J 4;2;0;23570790;−739.29;147.18;0.3;2;2;2
;59;Pasiphae;60;30;23609042;−739.80;141.8;0.37;60;60;60
;60;Hegemone;3;0;23702511;−745.50;152.51;0.41;3;3;3
;61;Arche;3;0;23717051;−746.19;164.59;0.15;3;3;3
;62;Isonoe;4;0.01;23800647;−750.13;165.13;0.18;4;4;4
;63;S/2003 J 9;1;0;23857808;−752.84;164.98;0.28;1;1;1
;64;S/2003 J 5;4;0.01;23973926;−758.34;165.55;0.31;4;4;4
;65;Sinope;38;7.5;24057865;−739.33;153.78;0.28;38;38;38
;66;Sponde;2;0;24252627;−771.60;154.37;0.44;2;2;2
;67;Autonoe;4;0.01;24264445;−772.17;151.06;0.37;4;4;4
;68;Megaclite;5;0.02;24687239;−792.44;150.4;0.31;5;5;5
;69;S/2003 J 2;2;0;28570410;−981.55;153.52;0.41;2;2;2
