,Name,Diameter,Mass,"Semi-Major axis",period,Inclination,Eccentricity
,,m,kg,km,day,deg.,km
1,Metis,30000,36000000000000000,127690000,25469,0,0.0002
2,Adrastea,10000,2000000000000000,128690000,25770,0.000523598775598,0.0015
3,Amalthea,125000,2.08E+18,181366000,43043,0.006527531402459,0.0032
4,Thebe,58000,4.3E+17,221889000,58277,0.018779742751459,0.0175
5,Io,1830000,8.9319E+22,421700000,152850.24,0.000872664625997,0.0041
6,Europa,1560800,4.8E+22,671034000,306823.68,0.008220500776893,0.0094
7,Ganymede,2631200,1.4819E+23,1070412000,618157.44,0.003560471674068,0.0011
8,Callisto,2410300,1.0759E+23,1882709000,1441929.6,0.003577924966588,0.0074
9,Themisto,4000,690000000000000,7393216000,11220768,0.798697572297645,0.2115
10,Leda,8000,6000000000000001,11187781000,20806848,0.481047648434677,0.1673
11,Himalia,85000,6.7E+18,11451971000,21619872,0.532081075762991,0.1513
12,Lysithea,18000,63000000000000000,11740560000,22454496,0.471343617793589,0.1322
13,Elara,43000,8.7E+17,11778034000,22258368,0.518205708209636,0.1948
14,Dia,2000,90000000000000,12570424000,24877152,0.481431620870116,0.2058
15,Carpo,1500,45000000000000,17144873000,39624768,0.977401834409344,0.2735
16,"S/2003 J 12",500,1500000000000,17739539000,-41704416,2.49023577674551,0.4449
17,Euporie,1000,15000000000000,19088434000,-46550592,2.52538670788067,0.096
18,"S/2003 J 3",1000,15000000000000,19621780000,-48515328,2.55451625309646,0.2507
19,"S/2011 J 1",500,0,20155290000,-50303808,2.84139602224677,0.2963
20,"S/2003 J 18",1000,15000000000000,20219648000,-50749632,2.55474314589922,0.1048
21,"S/2010 J 2",500,0,20307150000,-50834304,2.62497519499947,0.307
22,Thelxinoe,1000,15000000000000,20453753000,-51633504,2.64054353192726,0.2684
23,Euanthe,1500,45000000000000,20464854000,-51674976,2.50295922699255,0.2
24,Helike,2000,90000000000000,20540266000,-51960960,2.69803467748795,0.1374
25,Orthosie,1000,15000000000000,20567971000,-52066368,2.48475544289425,0.2433
26,"S/2016 J 1",1500,15000000000000,20595483000,-52170912,2.44065097269635,0.1377
27,Iocaste,2500,190000000000000,20722566000,-52654752,2.56996241697661,0.2874
28,"S/2003 J 16",1000,15000000000000,20743779000,-52735104,2.63141545993933,0.3184
29,Praxidike,3500,430000000000000,20823948000,-53040960,2.51685204783842,0.184
30,Harpalyke,2000,120000000000000,21063814000,-53960256,2.56952608466361,0.244
31,Mneme,1000,15000000000000,21129786000,-54214272,2.61331639559615,0.3169
32,Hermippe,2000,90000000000000,21182086000,-54415584,2.63967086730126,0.229
33,Thyone,2000,90000000000000,21405570000,-55278720,2.57045110916717,0.2525
34,Ananke,14000,30000000000000000,21454952000,-55328832,2.64529082749269,0.3445
35,Herse,1000,15000000000000,22134306000,-58125600,2.83598550156559,0.2379
36,Aitne,1500,45000000000000,22285161000,-58720896,2.88960201618685,0.3927
37,Kale,1000,15000000000000,22409207000,-59211648,2.88639061036318,0.2011
38,Taygete,2500,160000000000000,22438648000,-59328288,2.87787340361345,0.3678
39,"S/2003 J 19",1000,15000000000000,22709061000,-60403968,2.8750285169327,0.1961
40,Chaldene,2000,75000000000000,22713444000,-60422112,2.91592158130693,0.2916
41,"S/2003 J 15",1000,15000000000000,22720999000,-60452352,2.4750863188382,0.0932
42,"S/2003 J 10",1000,15000000000000,22730813000,-60491232,2.85907620756947,0.3438
43,"S/2003 J 23",1000,15000000000000,22739654000,-60526656,2.59790513830104,0.393
44,Erinome,1500,45000000000000,22986266000,-61513344,2.85774975733796,0.2552
45,Aoede,2000,90000000000000,23044175000,-61746624,2.80093929018554,0.4311
46,Kallichore,1000,15000000000000,23111823000,-62018784,2.87289921524527,0.2041
47,Kalyke,2500,190000000000000,23180773000,-62296128,2.88860717851321,0.2139
48,Carme,23000,1.3E+17,23197992000,-66005280,2.88061357053908,0.2342
49,Callirrhoe,4500,870000000000000,23214986000,-62822304,2.44082550562155,0.2582
50,Eurydome,1500,45000000000000,23230858000,-62498304,2.60619545224801,0.3769
51,Pasithee,1000,15000000000000,23307318000,-62806752,2.89304031481328,0.3288
52,"S/2010 J 1",1000,0,23314335000,-62452512,2.84837733925475,0.32
53,Kore,1000,15000000000000,23345093000,-67048128,2.39757624675713,0.1951
54,Cyllene,1000,15000000000000,23396269000,-63167040,2.44604404008501,0.4115
55,"S/2011 J 2",500,0,23400981000,-63186048,2.59652632819196,0.3321
56,Eukelade,2000,90000000000000,23483694000,-63521280,2.86227016010062,0.2828
57,"S/2017 J 1",1000,15000000000000,23483978000,-63430560,2.60397888409798,0.3969
58,"S/2003 J 4",1000,15000000000000,23570790000,-63874656,2.56868832662265,0.3003
59,Pasiphae,30000,3E+17,23609042000,-63918720,2.47492923920552,0.3743
60,Hegemone,1500,45000000000000,23702511000,-64411200,2.66173182904647,0.4077
61,Arche,1500,45000000000000,23717051000,-64470816,2.87258505597991,0.1492
62,Isonoe,2000,75000000000000,23800647000,-64811232,2.88200983394068,0.1775
63,"S/2003 J 9",500,1500000000000,23857808000,-65045376,2.87944419994024,0.2761
64,"S/2003 J 5",2000,90000000000000,23973926000,-65520576,2.88937512338409,0.307
65,Sinope,19000,75000000000000000,24057865000,-63878112,2.68393241713184,0.275
66,Sponde,1000,15000000000000,24252627000,-66666240,2.69429967288869,0.4431
67,Autonoe,2000,90000000000000,24264445000,-66715488,2.63645946147759,0.369
68,Megaclite,2500,210000000000000,24687239000,-68466816,2.62494028841443,0.3077
69,"S/2003 J 2",1000,15000000000000,28570410000,-84805920,2.67944692095421,0.4074
